page,text,p,start,end,type,description
328,"Tuesday, October 31, 1922",1,0,25,DATE,Absolute or relative dates or periods
328,BB,3,21,23,PERSON,"People, including fictional"
328,Nicky,3,127,132,PERSON,"People, including fictional"
328,Geoffrey,3,145,153,PERSON,"People, including fictional"
328,M.,4,0,2,PERSON,"People, including fictional"
328,René Gimpel,4,12,23,PERSON,"People, including fictional"
328,Jo Duveen’s,4,45,56,PERSON,"People, including fictional"
328,BB,4,100,102,PERSON,"People, including fictional"
328,Cecil,5,0,5,PERSON,"People, including fictional"
328,Nicky,5,36,41,PERSON,"People, including fictional"
328,Geoffrey,5,124,132,PERSON,"People, including fictional"
328,Mussolini,6,0,9,PERSON,"People, including fictional"
328,Thaon di Revel,6,37,51,PERSON,"People, including fictional"
328,the Marine _____ War with Jugoslavia,6,55,91,EVENT,"Named hurricanes, battles, wars, sports events, etc."
