page,text,p,start,end,type,description,wikidata,viaf,loc,notes
350,"Wednesday, November 22, 1922",1,0,28,DATE,Absolute or relative dates or periods,,,,
350,Ross,3,23,27,PERSON,"People, including fictional",,,,
350,B.B.,3,29,33,PERSON,"People, including fictional",,,,
350,Nicky Sybil,3,38,49,PERSON,"People, including fictional",,,,
350,Nicky,3,62,67,PERSON,"People, including fictional",,,,
350,Mario Bacciocchi,3,72,88,PERSON,"People, including fictional",,,,
350,Fiesole,3,131,138,GPE,"Countries, cities, states",,,,
350,Strong’s,3,142,150,ORG,"Companies, agencies, institutions, etc.",,,,
350,Trench,3,167,173,PERSON,"People, including fictional",,,,
350,Salvemini,4,12,21,PERSON,"People, including fictional",,,,
350,London,5,229,235,GPE,"Countries, cities, states",,,,
350,Clémenceau,5,260,270,PERSON,"People, including fictional",,,,
350,the Treaty of Versailles,5,291,315,LAW,Named documents made into laws.,,,,
350,Lloyd George,5,326,338,PERSON,"People, including fictional",,,,
350,the Treaty of Sèvres,5,361,381,LAW,Named documents made into laws.,,,,
350,English,6,19,26,LANGUAGE,Any named language,,,,
