page,text,p,start,end,type,description,wikidata,viaf,loc,notes
373,"Friday, December 15, 1922",1,0,25,DATE,Absolute or relative dates or periods,,,,
373,Eugénie,3,0,7,PERSON,"People, including fictional",,,,
373,Christ]mas,3,109,119,DATE,Absolute or relative dates or periods,,,,
373,Ray,3,171,174,PERSON,"People, including fictional",,,,
373,B. B.,3,219,224,PERSON,"People, including fictional",,,,
373,Jew,3,279,282,NORP,Nationalities or religious or political groups,,,,
373,Uncle,3,283,288,PERSON,"People, including fictional",,,,
373,Villino,4,30,37,FAC,"Buildings, airports, highways, bridges, etc.",,,,
373,3,4,46,47,CARDINAL,Numerals that do not fall under another type,,,,
373,Hapgoods,4,48,56,PERSON,"People, including fictional",,,,
373,Ed. Spencer Churchill,8,12,33,PERSON,"People, including fictional",,,,
373,three,10,20,25,CARDINAL,Numerals that do not fall under another type,,,,
373,Eugénie,11,20,27,PERSON,"People, including fictional",,,,
373,Boston,13,27,33,GPE,"Countries, cities, states",,,,
