page,text,p,start,end,type,description
321,"Monday, October 25, 1915",2,0,24,DATE,Absolute or relative dates or periods
321,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
321,BB,5,37,39,PERSON,"People, including fictional"
321,Sybil,5,53,58,PERSON,"People, including fictional"
321,Geoffrey,5,64,72,PERSON,"People, including fictional"
321,Ross,5,108,112,PERSON,"People, including fictional"
321,Geoffrey,5,114,122,PERSON,"People, including fictional"
321,Salvemini,6,2,11,PERSON,"People, including fictional"
321,Luchaire,6,23,31,PERSON,"People, including fictional"
321,evening,6,55,62,TIME,Times smaller than a day
321,North,6,76,81,LOC,"Non-GPE locations, mountain ranges, bodies of water"
321,Italian,6,225,232,NORP,Nationalities or religious or political groups
321,Trentino,6,287,295,GPE,"Countries, cities, states"
321,Trieste,6,299,306,GPE,"Countries, cities, states"
321,Salvemini,6,358,367,PERSON,"People, including fictional"
321,Italy,6,391,396,GPE,"Countries, cities, states"
321,Balkans,6,424,431,LOC,"Non-GPE locations, mountain ranges, bodies of water"
