page,text,p,start,end,type,description
350,"Tuesday, November 23, 1915",2,0,26,DATE,Absolute or relative dates or periods
350,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
350,Cecil Pinsent,3,16,29,PERSON,"People, including fictional"
350,2:30,6,67,71,TIME,Times smaller than a day
350,Dumont,6,168,174,PERSON,"People, including fictional"
350,Batcheler,6,183,192,PERSON,"People, including fictional"
350,Germans,6,206,213,NORP,Nationalities or religious or political groups
350,Paris,6,302,307,GPE,"Countries, cities, states"
350,Brussels,6,340,348,GPE,"Countries, cities, states"
350,Antwerp,6,352,359,GPE,"Countries, cities, states"
350,Marchese de Rosale,8,0,18,PERSON,"People, including fictional"
350,Bagg,8,47,51,PERSON,"People, including fictional"
350,Terry Fürholzen,8,57,72,PERSON,"People, including fictional"
350,the Bulgarian Court,8,112,131,FAC,"Buildings, airports, highways, bridges, etc."
350,Sybil,8,150,155,PERSON,"People, including fictional"
350,Irene,8,160,165,PERSON,"People, including fictional"
