page,text,p,start,end,type,description
024,"Friday, January 1, 1915",2,0,23,DATE,Absolute or relative dates or periods
024,Yoï,5,0,3,PERSON,"People, including fictional"
024,Geoffrey,6,26,34,PERSON,"People, including fictional"
024,Laghetto,6,42,50,LOC,"Non-GPE locations, mountain ranges, bodies of water"
024,B.B.,6,66,70,PERSON,"People, including fictional"
024,Nello,6,131,136,PERSON,"People, including fictional"
024,the New Year,6,247,259,EVENT,"Named hurricanes, battles, wars, sports events, etc."
025,"Saturday, January 2, 1915",2,0,25,DATE,Absolute or relative dates or periods
025,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
025,Cecil Pinsent,3,16,29,PERSON,"People, including fictional"
025,Naima,3,31,36,GPE,"Countries, cities, states"
026,"Sunday, January 3, 1915",2,0,23,DATE,Absolute or relative dates or periods
026,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
026,Cecil Pinsent,3,16,29,PERSON,"People, including fictional"
026,Naima,3,31,36,GPE,"Countries, cities, states"
026,Hendersons,5,4,14,PERSON,"People, including fictional"
026,Margaret Strong,5,19,34,PERSON,"People, including fictional"
027,"Monday, January 4, 1915",2,0,23,DATE,Absolute or relative dates or periods
027,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
027,Priestly,6,41,49,PERSON,"People, including fictional"
027,the afternoon,6,61,74,TIME,Times smaller than a day
027,Mother,6,98,104,PERSON,"People, including fictional"
027,92,6,109,111,DATE,Absolute or relative dates or periods
028,"Tuesday, January 5, 1915",2,0,24,DATE,Absolute or relative dates or periods
028,Flora Priestley,3,0,15,PERSON,"People, including fictional"
028,Flora,5,24,29,PERSON,"People, including fictional"
028,Margaret Strong,5,36,51,PERSON,"People, including fictional"
028,Villa Medici,5,78,90,FAC,"Buildings, airports, highways, bridges, etc."
029,"Wednesday, January 6, 1915",2,0,26,DATE,Absolute or relative dates or periods
029,Flora Priestley,3,0,15,PERSON,"People, including fictional"
029,A.W. Benn,5,0,9,PERSON,"People, including fictional"
029,Krayl,5,34,39,PERSON,"People, including fictional"
029,Gordon Craig,5,89,101,PERSON,"People, including fictional"
029,Placci,6,0,6,PERSON,"People, including fictional"
029,Salvemini,6,11,20,PERSON,"People, including fictional"
029,Italy,6,50,55,GPE,"Countries, cities, states"
029,Placci,6,75,81,PERSON,"People, including fictional"
029,the 20th of this month,6,90,112,DATE,Absolute or relative dates or periods
029,Salvemini,6,114,123,PERSON,"People, including fictional"
029,the 15th of February,6,127,147,DATE,Absolute or relative dates or periods
029,the 23 of May.,8,22,36,DATE,Absolute or relative dates or periods
030,"Thursday, January 7, 1915",2,0,25,DATE,Absolute or relative dates or periods
030,Geoffrey Scott,3,7,21,PERSON,"People, including fictional"
030,De Robeck,5,5,14,PERSON,"People, including fictional"
030,3:30,5,28,32,TIME,Times smaller than a day
030,Enniskillen,5,49,60,PERSON,"People, including fictional"
030,Geoffrey,5,66,74,PERSON,"People, including fictional"
030,Flora,5,84,89,PERSON,"People, including fictional"
031,"Friday, January 8, 1915",2,0,23,DATE,Absolute or relative dates or periods
031,9.30,6,11,15,TIME,Times smaller than a day
031,Florence Blood’s Days,7,39,60,WORK_OF_ART,"Titles of books, songs, etc."
032,"Saturday, January 9, 1915",2,0,25,DATE,Absolute or relative dates or periods
032,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
032,Cecil Pinsent,3,16,29,PERSON,"People, including fictional"
032,Flora,3,31,36,GPE,"Countries, cities, states"
033,"Sunday, January 10, 1915",2,0,24,DATE,Absolute or relative dates or periods
033,Fiesole,3,27,34,FAC,"Buildings, airports, highways, bridges, etc."
033,Flora Priestley,4,0,15,PERSON,"People, including fictional"
033,Geoffrey,4,17,25,PERSON,"People, including fictional"
033,Cecil,4,27,32,PERSON,"People, including fictional"
033,Edward Hutton,6,22,35,PERSON,"People, including fictional"
033,Frank Crisp,6,43,54,PERSON,"People, including fictional"
033,the 5th,6,79,86,DATE,Absolute or relative dates or periods
033,Ross,6,113,117,PERSON,"People, including fictional"
033,Margaret Strong,7,2,17,PERSON,"People, including fictional"
033,Paterson,7,27,35,PERSON,"People, including fictional"
033,Sybil,7,88,93,PERSON,"People, including fictional"
033,Flora,7,116,121,PERSON,"People, including fictional"
033,Janet,7,147,152,PERSON,"People, including fictional"
034,"Monday, January 11, 1915",2,0,24,DATE,Absolute or relative dates or periods
034,Geoffrey,3,0,8,PERSON,"People, including fictional"
034,Priestly,5,7,15,PERSON,"People, including fictional"
034,Geoffrey,5,34,42,PERSON,"People, including fictional"
034,Flora,5,78,83,PERSON,"People, including fictional"
034,only one,6,76,84,CARDINAL,Numerals that do not fall under another type
034,Luisa,6,162,167,PERSON,"People, including fictional"
034,Nello,8,2,7,PERSON,"People, including fictional"
034,Yoï,8,9,12,PERSON,"People, including fictional"
034,Nelson Gay,8,30,40,PERSON,"People, including fictional"
034,Yoï,8,55,58,PERSON,"People, including fictional"
034,Ugo Ojetti,8,143,153,PERSON,"People, including fictional"
034,Nello,8,407,412,PERSON,"People, including fictional"
035,"Tuesday, January 12, 1915",2,0,25,DATE,Absolute or relative dates or periods
036,"Wednesday, January 13, 1915",2,0,27,DATE,Absolute or relative dates or periods
036,Benn,4,6,10,PERSON,"People, including fictional"
036,Edmund,4,15,21,PERSON,"People, including fictional"
036,Mary Houghton,4,26,39,PERSON,"People, including fictional"
036,Cecil,4,44,49,PERSON,"People, including fictional"
036,Edmund,4,76,82,PERSON,"People, including fictional"
036,De Dion,4,94,101,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
036,those wonderful first days,4,179,205,DATE,Absolute or relative dates or periods
036,B.B.,5,2,6,PERSON,"People, including fictional"
036,Sybil,5,20,25,PERSON,"People, including fictional"
036,Cecil,6,2,7,PERSON,"People, including fictional"
036,Geoffrey,6,12,20,PERSON,"People, including fictional"
036,De Robeck,6,51,60,PERSON,"People, including fictional"
036,Hamilton,6,76,84,PERSON,"People, including fictional"
037,"Thursday, January 14, 1915",3,0,26,DATE,Absolute or relative dates or periods
037,Placci,5,2,8,PERSON,"People, including fictional"
037,Edmund Houghton,5,13,28,PERSON,"People, including fictional"
037,Avezzano,5,91,99,GPE,"Countries, cities, states"
037,Abruzzi,5,108,115,PERSON,"People, including fictional"
037,Giolitti,5,155,163,PERSON,"People, including fictional"
037,Salandra,5,202,210,GPE,"Countries, cities, states"
037,House,5,222,227,ORG,"Companies, agencies, institutions, etc."
037,Casus Belli,5,276,287,PERSON,"People, including fictional"
037,Salandra,5,289,297,PERSON,"People, including fictional"
037,first,5,314,319,ORDINAL,"""first"", ""second"", etc."
037,Bülow,5,325,330,PERSON,"People, including fictional"
037,Giolitti,5,352,360,PERSON,"People, including fictional"
037,Geoffrey,6,2,10,PERSON,"People, including fictional"
037,Florence,6,211,219,GPE,"Countries, cities, states"
038,"Friday, January 15, 1915",2,0,24,DATE,Absolute or relative dates or periods
038,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
038,Halls,6,44,49,PERSON,"People, including fictional"
038,Hall,6,57,61,PERSON,"People, including fictional"
038,Harvard,6,65,72,ORG,"Companies, agencies, institutions, etc."
038,Thomases,6,181,189,PERSON,"People, including fictional"
039,"Saturday, January 16, 1915",2,0,26,DATE,Absolute or relative dates or periods
039,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
039,Cecil Pinsent,3,16,29,PERSON,"People, including fictional"
039,Naima,3,31,36,GPE,"Countries, cities, states"
039,Cecil,5,2,7,PERSON,"People, including fictional"
039,5:45 train,5,15,25,TIME,Times smaller than a day
039,Empoli,5,29,35,GPE,"Countries, cities, states"
039,San Miniato al Tedesco,5,84,106,FAC,"Buildings, airports, highways, bridges, etc."
039,6,5,187,188,TIME,Times smaller than a day
039,BB,6,2,4,PERSON,"People, including fictional"
039,Sybil,6,24,29,PERSON,"People, including fictional"
039,Janet,6,59,64,PERSON,"People, including fictional"
039,Crisp,6,66,71,PERSON,"People, including fictional"
039,German,6,86,92,NORP,Nationalities or religious or political groups
039,5th,6,149,152,ORDINAL,"""first"", ""second"", etc."
039,11:30,6,156,161,TIME,Times smaller than a day
039,noon,6,178,182,TIME,Times smaller than a day
039,Indian,7,12,18,NORP,Nationalities or religious or political groups
039,evening,7,29,36,TIME,Times smaller than a day
