text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
Today,2,0,5,DATE,Absolute or relative dates or periods
Lina,2,6,10,PERSON,"People, including fictional"
Frau Lene Schneider-Kainer,2,28,54,PERSON,"People, including fictional"
Thibet,2,67,73,GPE,"Countries, cities, states"
Siam,2,78,82,GPE,"Countries, cities, states"
China,2,87,92,GPE,"Countries, cities, states"
the Thibetan Monastries,2,132,155,NORP,Nationalities or religious or political groups
East,2,197,201,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Lee,3,0,3,PERSON,"People, including fictional"
Senda,3,19,24,PERSON,"People, including fictional"
Africa,3,45,51,LOC,"Non-GPE locations, mountain ranges, bodies of water"
BB,3,68,70,PERSON,"People, including fictional"
Nicky,3,83,88,PERSON,"People, including fictional"
"Wednesday, January 21,1931",4,0,26,DATE,Absolute or relative dates or periods
John Walker,5,0,11,PERSON,"People, including fictional"
BB,5,47,49,PERSON,"People, including fictional"
Nicky,5,54,59,PERSON,"People, including fictional"
"Thursday, January 22,1931",6,0,25,DATE,Absolute or relative dates or periods
Lee,7,0,3,PERSON,"People, including fictional"
7.45,7,12,16,TIME,Times smaller than a day
Byba,7,18,22,PERSON,"People, including fictional"
Harry Coster,7,27,39,PERSON,"People, including fictional"
Walker,7,76,82,PERSON,"People, including fictional"
Franck,7,108,114,PERSON,"People, including fictional"
Coppoli,7,128,135,PERSON,"People, including fictional"
"Friday, January 23,1931",8,0,23,DATE,Absolute or relative dates or periods
John Walker,9,0,11,PERSON,"People, including fictional"
Lina,9,13,17,PERSON,"People, including fictional"
Kinta,9,30,35,PERSON,"People, including fictional"
Grant,9,45,50,PERSON,"People, including fictional"
