text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Monday, November 10,1930",2,0,24,DATE,Absolute or relative dates or periods
Vavalà,3,0,6,PERSON,"People, including fictional"
Walker,3,11,17,PERSON,"People, including fictional"
Santa Brigida,3,55,68,GPE,"Countries, cities, states"
Daddi,4,36,41,PERSON,"People, including fictional"
Faust,4,56,61,PERSON,"People, including fictional"
3,4,63,64,CARDINAL,Numerals that do not fall under another type
11,4,82,84,DATE,Absolute or relative dates or periods
13,4,94,96,DATE,Absolute or relative dates or periods
One,4,108,111,CARDINAL,Numerals that do not fall under another type
Walker,4,131,137,PERSON,"People, including fictional"
"Tuesday, November 11,1930",5,0,25,DATE,Absolute or relative dates or periods
"Monday, December 7,1930",8,0,23,DATE,Absolute or relative dates or periods
Lützows,10,11,18,PERSON,"People, including fictional"
Kühn,10,38,42,PERSON,"People, including fictional"
Calderon,10,49,57,PERSON,"People, including fictional"
Percy Lubbock,10,62,75,PERSON,"People, including fictional"
Casa,10,77,81,PERSON,"People, including fictional"
Eustis,10,93,99,PERSON,"People, including fictional"
Blaw,10,114,118,PERSON,"People, including fictional"
Van Marle,10,120,129,PERSON,"People, including fictional"
Cecil Pinsent,10,131,144,PERSON,"People, including fictional"
3,10,146,147,CARDINAL,Numerals that do not fall under another type
Harrach,10,173,180,PERSON,"People, including fictional"
Diana Draper,10,182,194,PERSON,"People, including fictional"
Iris,10,196,200,PERSON,"People, including fictional"
twice,10,202,207,ORDINAL,"""first"", ""second"", etc."
Filippis,10,213,221,PERSON,"People, including fictional"
Harrison,10,228,236,PERSON,"People, including fictional"
Paget,10,275,280,PERSON,"People, including fictional"
Rosselli,10,282,290,PERSON,"People, including fictional"
Naischkine,10,306,316,PERSON,"People, including fictional"
Stiebel,10,327,334,PERSON,"People, including fictional"
Vavalà,10,335,341,PERSON,"People, including fictional"
Hammer,10,343,349,PERSON,"People, including fictional"
Kaufmann,10,354,362,PERSON,"People, including fictional"
Gondner,10,378,385,PERSON,"People, including fictional"
"Wednesday, November 26,1930",11,0,27,DATE,Absolute or relative dates or periods
Morra,12,0,5,PERSON,"People, including fictional"
Morrow,12,25,31,PERSON,"People, including fictional"
