text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Thursday, October 2,1930",2,0,24,DATE,Absolute or relative dates or periods
Lanier,3,5,11,PERSON,"People, including fictional"
Pinches,3,21,28,PERSON,"People, including fictional"
the morning,3,38,49,TIME,Times smaller than a day
Kenneth,3,51,58,PERSON,"People, including fictional"
Jane Clark,3,63,73,PERSON,"People, including fictional"
the day,3,80,87,DATE,Absolute or relative dates or periods
the Allys Coxes,3,128,143,PERSON,"People, including fictional"
Murphy,3,185,191,PERSON,"People, including fictional"
Geoffrey,3,193,201,PERSON,"People, including fictional"
American,3,233,241,NORP,Nationalities or religious or political groups
W. Hunt,3,251,258,PERSON,"People, including fictional"
BB,3,320,322,ORG,"Companies, agencies, institutions, etc."
"Friday, October 3,1930",4,0,22,DATE,Absolute or relative dates or periods
first,5,9,14,ORDINAL,"""first"", ""second"", etc."
Munari,5,45,51,GPE,"Countries, cities, states"
all day,5,116,123,DATE,Absolute or relative dates or periods
Logan,5,125,130,PERSON,"People, including fictional"
5,5,142,143,TIME,Times smaller than a day
"Saturday, October 4,1930",6,0,24,DATE,Absolute or relative dates or periods
Osten-Sachen,7,9,21,PERSON,"People, including fictional"
the morning,7,33,44,TIME,Times smaller than a day
Logan,7,107,112,PERSON,"People, including fictional"
Wharton,7,122,129,PERSON,"People, including fictional"
