text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Tuesday, January 20,1931",2,0,24,DATE,Absolute or relative dates or periods
BB,3,5,7,PERSON,"People, including fictional"
our days,3,42,50,DATE,Absolute or relative dates or periods
fromAlys,3,80,88,PERSON,"People, including fictional"
Karin,3,95,100,PERSON,"People, including fictional"
Christopher,3,124,135,PERSON,"People, including fictional"
Barbara,3,140,147,PERSON,"People, including fictional"
Ray,4,1,4,PERSON,"People, including fictional"
Fawcett,4,74,81,PERSON,"People, including fictional"
2,5,20,21,CARDINAL,Numerals that do not fall under another type
Barbara,5,43,50,PERSON,"People, including fictional"
Aulla,5,65,70,GPE,"Countries, cities, states"
Lerici,5,75,81,GPE,"Countries, cities, states"
3 days,5,86,92,DATE,Absolute or relative dates or periods
Alys,5,94,98,PERSON,"People, including fictional"
Olivier,5,103,110,PERSON,"People, including fictional"
Ann,5,115,118,PERSON,"People, including fictional"
Aulla,5,122,127,GPE,"Countries, cities, states"
a night,5,132,139,TIME,Times smaller than a day
4,5,145,146,CARDINAL,Numerals that do not fall under another type
Waterfields,5,147,158,PERSON,"People, including fictional"
Peggy Macdonnell,5,181,197,PERSON,"People, including fictional"
Senda Abbot,6,68,79,PERSON,"People, including fictional"
van Rensselaer Lee,6,104,122,PERSON,"People, including fictional"
Kennedys,6,135,143,PERSON,"People, including fictional"
Vavalà,6,148,154,PERSON,"People, including fictional"
Stern,7,11,16,PERSON,"People, including fictional"
