text,p,start,end,type,description
Morra,2,0,5,PERSON,"People, including fictional"
Senda,2,15,20,PERSON,"People, including fictional"
Gordon Waterfield,2,22,39,PERSON,"People, including fictional"
2 nights,2,49,57,DATE,Absolute or relative dates or periods
"Tuesday, February 3,1931",3,0,24,DATE,Absolute or relative dates or periods
Placci,4,58,64,PERSON,"People, including fictional"
Howard,4,83,89,PERSON,"People, including fictional"
Pembroke,4,93,101,GPE,"Countries, cities, states"
Giuliana Benzoni,4,125,141,PERSON,"People, including fictional"
Placci,4,146,152,PERSON,"People, including fictional"
Law,4,176,179,PERSON,"People, including fictional"
Law,4,189,192,PERSON,"People, including fictional"
Trevy,5,0,5,PERSON,"People, including fictional"
Morra,5,10,15,PERSON,"People, including fictional"
up to night,5,39,50,TIME,Times smaller than a day
Betty Macdonnel,5,138,153,PERSON,"People, including fictional"
"Wednesday, February 4,1931",7,0,26,DATE,Absolute or relative dates or periods
Vavalà,8,26,32,PERSON,"People, including fictional"
Morra,8,115,120,PERSON,"People, including fictional"
Loria,8,131,136,PERSON,"People, including fictional"
Fokker,8,153,159,PERSON,"People, including fictional"
"Thursday, February 5,1931",9,0,25,DATE,Absolute or relative dates or periods
Morra,10,0,5,PERSON,"People, including fictional"
Alvaro,10,63,69,PERSON,"People, including fictional"
Calabrese,10,109,118,PERSON,"People, including fictional"
Law,10,133,136,PERSON,"People, including fictional"
Aubrey,10,141,147,PERSON,"People, including fictional"
"Friday, February 6,1931",11,0,23,DATE,Absolute or relative dates or periods
Vavalà,12,0,6,PERSON,"People, including fictional"
Ojetti,12,8,14,PERSON,"People, including fictional"
Pancrazi,12,19,27,PERSON,"People, including fictional"
Lützons,12,38,45,PERSON,"People, including fictional"
