text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Wednesday, September 24,1930",3,0,28,DATE,Absolute or relative dates or periods
Theron Damon,4,43,55,PERSON,"People, including fictional"
Constantinople,4,61,75,GPE,"Countries, cities, states"
New England,6,3,14,LOC,"Non-GPE locations, mountain ranges, bodies of water"
"Thursday, September 25,1930",8,0,27,DATE,Absolute or relative dates or periods
Naima Löfroth,9,0,13,PERSON,"People, including fictional"
Sweden,9,38,44,GPE,"Countries, cities, states"
"Sunday, September 28,1930",10,0,25,DATE,Absolute or relative dates or periods
Lanier,11,5,11,PERSON,"People, including fictional"
Allyn Cox,11,29,38,PERSON,"People, including fictional"
Venice,11,52,58,GPE,"Countries, cities, states"
3 year s ago,11,117,129,DATE,Absolute or relative dates or periods
