text,p,start,end,type,description
"Saturday, February 7,1931",2,0,25,DATE,Absolute or relative dates or periods
Rose Nichols,3,5,17,PERSON,"People, including fictional"
BB,3,33,35,PERSON,"People, including fictional"
Nicky,3,37,42,PERSON,"People, including fictional"
Morra,3,47,52,PERSON,"People, including fictional"
Spelmans,3,68,76,PERSON,"People, including fictional"
Trevy,3,78,83,PERSON,"People, including fictional"
Waterfields,3,91,102,FAC,"Buildings, airports, highways, bridges, etc."
"Sunday, February 8,1931",4,0,23,DATE,Absolute or relative dates or periods
Mahlon Sands,5,4,16,PERSON,"People, including fictional"
Villino,5,32,39,ORG,"Companies, agencies, institutions, etc."
"Monday, February 9,1931",6,0,23,DATE,Absolute or relative dates or periods
Vavalà,7,0,6,ORG,"Companies, agencies, institutions, etc."
Sands,7,21,26,PERSON,"People, including fictional"
Gordon,8,0,6,PERSON,"People, including fictional"
Kitty Waterfield,8,11,27,PERSON,"People, including fictional"
11.45,8,37,42,TIME,Times smaller than a day
4,8,75,76,TIME,Times smaller than a day
"Tuesday, February 10,1931",10,0,25,DATE,Absolute or relative dates or periods
11,11,3,5,TIME,Times smaller than a day
Sanminiatellis,11,20,34,PERSON,"People, including fictional"
Placci,11,61,67,PERSON,"People, including fictional"
Cora,11,72,76,PERSON,"People, including fictional"
Sands,11,85,90,PERSON,"People, including fictional"
2,11,100,101,CARDINAL,Numerals that do not fall under another type
Waterfields,11,108,119,PERSON,"People, including fictional"
BB,11,129,131,PERSON,"People, including fictional"
Near East,11,169,178,LOC,"Non-GPE locations, mountain ranges, bodies of water"
"Wednesday, February 11,1931",12,0,27,DATE,Absolute or relative dates or periods
Hammer,13,0,6,PERSON,"People, including fictional"
BB,13,22,24,PERSON,"People, including fictional"
Toeplitzes,13,48,58,PERSON,"People, including fictional"
Sand,13,64,68,PERSON,"People, including fictional"
