text,p,start,end,type,description
"Saturday, January 24,1931",2,0,25,DATE,Absolute or relative dates or periods
Rufino,3,14,20,PERSON,"People, including fictional"
Cora,3,27,31,PERSON,"People, including fictional"
Placci,3,33,39,PERSON,"People, including fictional"
Lina,3,41,45,PERSON,"People, including fictional"
Placci,3,64,70,PERSON,"People, including fictional"
BB,4,0,2,PERSON,"People, including fictional"
Karin,4,14,19,PERSON,"People, including fictional"
first,4,22,27,ORDINAL,"""first"", ""second"", etc."
"Sunday, January 25,1931",5,0,23,DATE,Absolute or relative dates or periods
Draper,6,5,11,PERSON,"People, including fictional"
Kinta,6,13,18,PERSON,"People, including fictional"
Walkers,6,23,30,PERSON,"People, including fictional"
Alda,6,81,85,PERSON,"People, including fictional"
Bertie,6,90,96,PERSON,"People, including fictional"
one,7,5,8,CARDINAL,Numerals that do not fall under another type
Edith,7,12,17,PERSON,"People, including fictional"
"Monday, January 26,1931",8,0,23,DATE,Absolute or relative dates or periods
BB,10,0,2,PERSON,"People, including fictional"
Nicky,10,7,12,PERSON,"People, including fictional"
Filippis,10,31,39,PERSON,"People, including fictional"
Senda,10,41,46,PERSON,"People, including fictional"
Anreps,10,56,62,PERSON,"People, including fictional"
one,10,90,93,CARDINAL,Numerals that do not fall under another type
"Tuesday, January 27,1931",11,0,24,DATE,Absolute or relative dates or periods
T.H. Fokker,12,4,15,PERSON,"People, including fictional"
Rome,12,29,33,GPE,"Countries, cities, states"
Spelmans,12,48,56,PERSON,"People, including fictional"
Walker,12,61,67,PERSON,"People, including fictional"
"Wednesday, January 28,1931",13,0,26,DATE,Absolute or relative dates or periods
Signorina Accascina,14,13,32,PERSON,"People, including fictional"
Palermo,14,39,46,GPE,"Countries, cities, states"
Strong,14,57,63,PERSON,"People, including fictional"
Senda,14,65,70,PERSON,"People, including fictional"
Smith College,14,73,86,ORG,"Companies, agencies, institutions, etc."
Nicky,14,110,115,PERSON,"People, including fictional"
Vavalà,14,130,136,PERSON,"People, including fictional"
