text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Thursday, February 26,1931",2,0,26,DATE,Absolute or relative dates or periods
Placci,4,0,6,PERSON,"People, including fictional"
Frau Holstein,4,25,38,PERSON,"People, including fictional"
Nichols,4,45,52,PERSON,"People, including fictional"
Fokker,4,63,69,PERSON,"People, including fictional"
first,5,10,15,ORDINAL,"""first"", ""second"", etc."
Costers,6,16,23,PERSON,"People, including fictional"
Cecil,6,30,35,PERSON,"People, including fictional"
Fausts,6,44,50,PERSON,"People, including fictional"
Scaravelli,6,63,73,PERSON,"People, including fictional"
"Friday, February 27,1931",7,0,24,DATE,Absolute or relative dates or periods
Clotilde,8,0,8,PERSON,"People, including fictional"
Nesta,8,10,15,PERSON,"People, including fictional"
Scaravelli,8,20,30,PERSON,"People, including fictional"
Vavalà,8,42,48,PERSON,"People, including fictional"
Sienese,8,61,68,NORP,Nationalities or religious or political groups
Brandi,8,70,76,PERSON,"People, including fictional"
Jane Herman,9,30,41,PERSON,"People, including fictional"
"Saturday, February 28,1931",10,0,26,DATE,Absolute or relative dates or periods
Aubrey,11,0,6,PERSON,"People, including fictional"
Kinta Waterfield,11,11,27,PERSON,"People, including fictional"
Flavia Darina,11,42,55,PERSON,"People, including fictional"
Fokker,11,64,70,PERSON,"People, including fictional"
"Sunday, March 1,1931",12,0,20,DATE,Absolute or relative dates or periods
Anreps,13,4,10,PERSON,"People, including fictional"
Cecil,13,15,20,PERSON,"People, including fictional"
"Monday, March 2,1931",14,0,20,DATE,Absolute or relative dates or periods
Coras,15,4,9,PERSON,"People, including fictional"
Clotilde Marghieri,15,14,32,PERSON,"People, including fictional"
Vavalà,15,48,54,PERSON,"People, including fictional"
Herr Peters,15,59,70,PERSON,"People, including fictional"
Budapest,15,77,85,GPE,"Countries, cities, states"
Ray,15,95,98,PERSON,"People, including fictional"
midnight,15,110,118,TIME,Times smaller than a day
