text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Monday, October 20,1930",2,0,23,DATE,Absolute or relative dates or periods
Logan,3,0,5,PERSON,"People, including fictional"
two,3,14,17,TIME,Times smaller than a day
"Tuesday – Monday, October 21-27,1930",4,0,36,DATE,Absolute or relative dates or periods
Siena,4,38,43,GPE,"Countries, cities, states"
a truly enchanting week,5,7,30,DATE,Absolute or relative dates or periods
Siena,5,34,39,GPE,"Countries, cities, states"
Alda,5,69,73,PERSON,"People, including fictional"
Florence,5,104,112,GPE,"Countries, cities, states"
Saturday,5,116,124,DATE,Absolute or relative dates or periods
San Geminiano,5,171,184,FAC,"Buildings, airports, highways, bridges, etc."
Peleo Bac[c]i,5,216,229,PERSON,"People, including fictional"
One,6,2,5,CARDINAL,Numerals that do not fall under another type
Castagneto del Bosco,6,22,42,GPE,"Countries, cities, states"
Biondis,6,63,70,PERSON,"People, including fictional"
Godfroy,6,92,99,PERSON,"People, including fictional"
Whitaker,6,148,156,PERSON,"People, including fictional"
Biondis,6,188,195,PERSON,"People, including fictional"
"Tuesday, October 28,1930",7,0,24,DATE,Absolute or relative dates or periods
Nelly Mackay,8,0,12,PERSON,"People, including fictional"
Vavalà,8,89,95,ORG,"Companies, agencies, institutions, etc."
the day,8,105,112,DATE,Absolute or relative dates or periods
Houghton,9,0,8,ORG,"Companies, agencies, institutions, etc."
Waterfields,9,17,28,PERSON,"People, including fictional"
Virginia (Francis) Peabody,9,53,79,PERSON,"People, including fictional"
Cambridge,9,85,94,GPE,"Countries, cities, states"
Fausto,9,142,148,PERSON,"People, including fictional"
