text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
Morra,2,0,5,PERSON,"People, including fictional"
Nicky,2,16,21,PERSON,"People, including fictional"
John Walker,3,0,11,PERSON,"People, including fictional"
Trevy,4,0,5,PERSON,"People, including fictional"
Sands,5,4,9,PERSON,"People, including fictional"
evening,6,4,11,TIME,Times smaller than a day
"Monday, February 16,1931",7,0,24,DATE,Absolute or relative dates or periods
Vavalà,8,0,6,ORG,"Companies, agencies, institutions, etc."
"Tuesday, February 17,1931",9,0,25,DATE,Absolute or relative dates or periods
Marangonis,10,4,14,PERSON,"People, including fictional"
"Wednesday, February 18,1931",11,0,27,DATE,Absolute or relative dates or periods
Rose Nichols,13,5,17,PERSON,"People, including fictional"
Newton,13,43,49,PERSON,"People, including fictional"
Shapiro,13,99,106,PERSON,"People, including fictional"
2 years ago,13,127,138,DATE,Absolute or relative dates or periods
Mediaeval Art,13,176,189,ORG,"Companies, agencies, institutions, etc."
Columbia College,13,193,209,ORG,"Companies, agencies, institutions, etc."
Sands,13,215,220,PERSON,"People, including fictional"
Aubrey,13,225,231,PERSON,"People, including fictional"
Sands,13,246,251,PERSON,"People, including fictional"
Hammer,13,257,263,PERSON,"People, including fictional"
Fokker,13,272,278,PERSON,"People, including fictional"
Preface,13,301,308,WORK_OF_ART,"Titles of books, songs, etc."
Sacred Pictures,13,310,325,WORK_OF_ART,"Titles of books, songs, etc."
