page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0112,"Monday, September 7, 1891",1,0,25,DATE,Absolute or relative dates or periods,,,,
0112,Hotel Roth,1,27,37,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0112,Munich,1,39,45,GPE,"Countries, cities, states",,,,
0112,Gallery,2,4,11,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0112,the morning,2,15,26,TIME,Times smaller than a day,,,,
0112,"Florentine,",2,28,39,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Umbrian,2,40,47,NORP,Nationalities or religious or political groups,,,,
0112,Roman,2,52,57,NORP,Nationalities or religious or political groups,,,,
0112,Hanfstaingl’s,3,25,38,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Schack,4,12,18,PERSON,"People, including fictional",,,,
0112,Leubach,4,39,46,PERSON,"People, including fictional",,,,
0112,Titian,4,67,73,PERSON,"People, including fictional",,,,
0112,Charles V,4,76,85,PERSON,"People, including fictional",,,,
0112,Böcklins,4,109,117,PERSON,"People, including fictional",,,,
0112,Glyptoteck,5,12,22,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0112,B.,6,0,2,PERSON,"People, including fictional",,,,
0112,the International Exhibition,7,8,36,ORG,"Companies, agencies, institutions, etc.",,,,
0112,French,7,49,55,NORP,Nationalities or religious or political groups,,,,
0112,three,7,66,71,CARDINAL,Numerals that do not fall under another type,,,,
0112,82,7,155,157,DATE,Absolute or relative dates or periods,,,,
0112,Five,8,0,4,CARDINAL,Numerals that do not fall under another type,,,,
0112,two,8,24,27,CARDINAL,Numerals that do not fall under another type,,,,
0112,"3 Dagnau-Bouverets, A Madonna and Child",9,0,39,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0112,1,10,0,1,CARDINAL,Numerals that do not fall under another type,,,,
0112,Whistler,10,2,10,PERSON,"People, including fictional",,,,
0112,66,10,24,26,DATE,Absolute or relative dates or periods,,,,
0112,Meissoniers,11,2,13,PERSON,"People, including fictional",,,,
0112,2,13,0,1,CARDINAL,Numerals that do not fall under another type,,,,
0112,Bonnats,13,2,9,PERSON,"People, including fictional",,,,
0112,Samson,13,15,21,PERSON,"People, including fictional",,,,
0112,year,13,30,34,DATE,Absolute or relative dates or periods,,,,
0112,Salon,13,37,42,EVENT,"Named hurricanes, battles, wars, sports events, etc.",,,,
0112,Italian,13,51,58,NORP,Nationalities or religious or political groups,,,,
0112,5,14,0,1,CARDINAL,Numerals that do not fall under another type,,,,
0112,Millets,15,11,18,GPE,"Countries, cities, states",,,,
0112,Troyon,15,20,26,GPE,"Countries, cities, states",,,,
0112,Daubigny,15,28,36,GPE,"Countries, cities, states",,,,
0112,Corot,15,38,43,GPE,"Countries, cities, states",,,,
0112,Diaz,15,45,49,PERSON,"People, including fictional",,,,
0112,Hamel Jacques,15,51,64,PERSON,"People, including fictional",,,,
0112,Ribarz,16,28,34,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Dagnaux,16,36,43,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Breslau,16,45,52,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Ribot,16,54,59,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Hagborg,16,61,68,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Meunier,16,70,77,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Stéveres,16,79,87,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Israels,16,89,96,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Mesdag,16,98,104,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Roederstein,16,106,117,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Agache,16,119,125,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Dinet,16,127,132,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Blanche,16,134,141,ORG,"Companies, agencies, institutions, etc.",,,,
0112,L’Hermitte,16,143,153,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Courtois,16,155,163,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Gervex,16,165,171,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Puvis de Chavannes,16,173,191,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Dupré,16,193,198,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Monet,17,18,23,PERSON,"People, including fictional",,,,
0112,Manet,17,25,30,PERSON,"People, including fictional",,,,
0112,Besnard,17,36,43,PERSON,"People, including fictional",,,,
0112,Böcklin,17,75,82,PERSON,"People, including fictional",,,,
0112,Munich,17,122,128,GPE,"Countries, cities, states",,,,
0112,Monets,17,155,161,PERSON,"People, including fictional",,,,
0112,Haufstängl’s,18,38,50,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Faust,19,33,38,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0112,B.,19,40,42,PERSON,"People, including fictional",,,,
0112,Augustan,19,71,79,NORP,Nationalities or religious or political groups,,,,
0112,"Tuesday, September",20,0,18,DATE,Absolute or relative dates or periods,,,,
0112,Munich,20,34,40,GPE,"Countries, cities, states",,,,
0112,Milanese and Ferrarese Schools,21,0,30,ORG,"Companies, agencies, institutions, etc.",,,,
0112,Gallery,21,38,45,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0112,the morning,21,49,60,TIME,Times smaller than a day,,,,
0112,B.,22,0,2,PERSON,"People, including fictional",,,,
0112,Marshall,22,20,28,PERSON,"People, including fictional",,,,
0112,Charles V,23,7,16,PERSON,"People, including fictional",,,,
0112,the International Exhibition,25,8,36,EVENT,"Named hurricanes, battles, wars, sports events, etc.",,,,
0112,the afternoon,25,40,53,TIME,Times smaller than a day,,,,
0112,Besnard,25,87,94,GPE,"Countries, cities, states",,,,
