page,text,p,start,end,type,description,wikidata,viaf,loc,notes
139,"Thursday, October 22, 1891",1,0,26,DATE,Absolute or relative dates or periods,,,,
139,Venice,1,28,34,GPE,"Countries, cities, states",,,,
139,Venetian,3,19,27,NORP,Nationalities or religious or political groups,,,,
139,the afternoon,4,10,23,TIME,Times smaller than a day,,,,
139,B.,4,35,37,PERSON,"People, including fictional",,,,
139,Mlle Jackowska,4,48,62,PERSON,"People, including fictional",,,,
139,"Friday, October 23, 1891",5,2,26,DATE,Absolute or relative dates or periods,,,,
139,Venice,5,28,34,GPE,"Countries, cities, states",,,,
139,Ducal Palace,6,8,20,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,morning,6,24,31,TIME,Times smaller than a day,,,,
139,the Scuola di S. Rocco,6,40,62,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,the afternoon,6,66,79,TIME,Times smaller than a day,,,,
139,Frari,7,19,24,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,B.,7,31,33,PERSON,"People, including fictional",,,,
139,Mlle Jackowska,7,44,58,PERSON,"People, including fictional",,,,
139,Swiss,7,93,98,NORP,Nationalities or religious or political groups,,,,
139,Costa,8,19,24,PERSON,"People, including fictional",,,,
139,Giudecca,8,35,43,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,Sebastiano del Piombo,8,58,79,PERSON,"People, including fictional",,,,
139,B.,8,100,102,PERSON,"People, including fictional",,,,
139,the evening,9,30,41,TIME,Times smaller than a day,,,,
139,"Saturday, October 24, 1891",10,0,26,DATE,Absolute or relative dates or periods,,,,
139,Venice,10,28,34,GPE,"Countries, cities, states",,,,
139,the Ducal Palace,11,22,38,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,S. Giuliano,11,57,68,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,Costa,11,82,87,PERSON,"People, including fictional",,,,
139,S. Giovanni Crisostomo,11,91,113,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,Benedetto Diana,12,74,89,PERSON,"People, including fictional",,,,
139,Catena,12,115,121,PERSON,"People, including fictional",,,,
139,Botti,12,129,134,PERSON,"People, including fictional",,,,
139,Costa,13,7,12,PERSON,"People, including fictional",,,,
139,S. Cassiano,13,23,34,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,the afternoon,14,3,16,TIME,Times smaller than a day,,,,
139,Frari,14,36,41,PERSON,"People, including fictional",,,,
139,Barbey d’Aurevilly’s,15,7,27,PERSON,"People, including fictional",,,,
139,Les Diaboliques,15,28,43,WORK_OF_ART,"Titles of books, songs, etc.",,,,
139,B.,16,0,2,PERSON,"People, including fictional",,,,
139,Bourget,16,12,19,PERSON,"People, including fictional",,,,
139,Sensations d’Italie,16,22,41,WORK_OF_ART,"Titles of books, songs, etc.",,,,
139,"Sunday, October 25, 1891",18,0,24,DATE,Absolute or relative dates or periods,,,,
139,Hotel Croce d’Oro,18,26,43,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,Padua,18,45,50,GPE,"Countries, cities, states",,,,
139,the morning,19,39,50,TIME,Times smaller than a day,,,,
139,two,20,8,11,CARDINAL,Numerals that do not fall under another type,,,,
139,Costas,20,12,18,PERSON,"People, including fictional",,,,
139,Vienna,20,41,47,GPE,"Countries, cities, states",,,,
139,the 5th,20,51,58,DATE,Absolute or relative dates or periods,,,,
139,St. Mark’s,20,73,83,FAC,"Buildings, airports, highways, bridges, etc.",,,,
139,4 o’clock,21,15,24,TIME,Times smaller than a day,,,,
139,Padua,21,34,39,GPE,"Countries, cities, states",,,,
